Team_ID,TeamName,HexCode
1,Arsenal,#EF0107
2,Aston-Villa,#670E36
4,Chelsea,#034694
6,Crystal-Palace,#1B458F
7,Everton,#003399
9,Leeds-United,#FFCD00
10,Liverpool,#C8102E
11,Manchester-City,#6CABDD
12,Manchester-United,#DA291C
13,Middlesbrough,#DD0000
14,Norwich-City,#FFF200
15,Nottingham-Forest,#DD0000
18,Sheffield-United,#EE2737
20,Southampton,#D71920
21,Tottenham-Hotspur,#132257
23,Newcastle-United,#241F20
25,West-Ham-United,#7A263A
26,Leicester-City,#003090
29,Sunderland,#FF0000
33,Watford,#FBEE23
34,Fulham,#000000
36,West-Bromwich-Albion,#122F67
38,Wolverhampton-Wanderers,#FDB913
41,Hull-City,#F18A01
42,Stoke-City,#E03A3E
43,Burnley,#6C1D45
45,Swansea-City,#000000
46,Cardiff-City,#0070B5
127,Bournemouth,#B50E12
130,Brentford,#D20000
131,Brighton-and-Hove-Albion,#0057B8
159,Huddersfield-Town,#0E63AD
163,Luton-Town,#000000
